Active (0/1);Name*;Categories (x,y,z...);Price tax included;Tax rule ID;Quantity;Description
1;Szafka RTV MIA MI-13;romantyczny;549,;1;27;"<div class=""widget text_editor clearfix2"" style=""width: 100%; height: 100%;""><div align=""justify"">Każdy rodzaj sprzętu RTV w dziewczęcym pokoju młodzieżowym będzie się świetnie prezentować na tej <strong><em>romantycznej szafce MIA</em></strong>. </div><div align=""justify""><br></div><div align=""justify"">Jej delikatna kolorystyka: połączenie spokojnej bieli z jasnoróżowym blatem oraz falujące wykończenie frontu, nada wnętrzu kobiecego charakteru. Mebel najlepiej prezentuje się w towarzystwie pozostałych propozycji z serii. Ich dziewczęcy urok sprawi, że nie będzie wątpliwości, że pokój należy do młodej damy.</div><div align=""justify""><br></div><div align=""justify""><h2>WNĘTRZE</h2>Zadbano o komfort przechowywania sprzętu RTV, projektując w tej niewielkiej szafce dwie oddzielne półki z praktycznymi otworami na kable. </div><div align=""justify""><br></div><div align=""justify"">W dodatkowej szerokiej szufladzie (zamontowanej na wytrzymałej prowadnicy rolkowej) można przechować piloty, płyty DVD lub gry na konsolę.</div><div align=""justify""><br></div><div align=""justify""><h2>WYKOŃCZENIE</h2>Wszystkie meble z serii <strong>MIA </strong>wykończono laminatem - są więc trwałe oraz łatwe w czyszczeniu.</div></div>"
1;Komoda MIA MI-11;romantyczny;619,;1;72;"<div class=""widget text_editor clearfix2"" style=""width: 100%; height: 100%;""><p><br></p><div align=""justify""><strong>Kolekcja MIA </strong>to lekko klasyczne meble dedykowane dla dzieci i młodzieży w różnym wieku. Biała kolorystyka całego mebla z delikatnymi akcentami różowymi będą pasować do młodzieżowych wnętrz. </div><div align=""justify""><br></div><div align=""justify"">Spora liczba elementów do wyboru i dbałość o szczegóły z pewnością przypadnie do gustu młodym użytkownikom. </div><div align=""justify""><br></div><div align=""justify""><strong>Komoda MIA</strong> to funkcjonalny i uniwersalny mebel, który możesz wykorzystać w dowolnym pomieszczeniu w zależności od tego co chcesz w nim przechowywać. </div><div align=""justify""><br></div><div align=""justify"">Szeroka szuflada i dwoje drzwi, za którymi znajdziesz półki pozwolą na uporządkowanie wszystkich rzeczy. Meble MIA są dostępne wyłącznie w salonach Agata.</div><div align=""justify""><br></div><div align=""justify""><br></div><div align=""justify""><br><h2>WNĘTRZE</h2><br>Komoda posiada szeroką szufladę wysuwaną za pomocą prowadnicy rolkowej i półki.<br><br><h2>WYKOŃCZENIE</h2><br>Mebel został wykonany z płyty laminowanej, cechującej się trwałością i jest łatwiejszy w utrzymaniu czystości.</div></div>"
1;Regał MAURO 107,2x107,2 cm biały;nowoczesny;350,10;1;94;"<div class=""widget text_editor clearfix2"" style=""width: 100%; height: 100%;""><div align=""justify""><p>Dzięki regałowi <strong>MAURO </strong>uporządkujesz książki i wprowadzisz ład do swojego kącika do czytania.</p><p><br></p><p><strong>Regał MAURO</strong> to minimalistyczna bryła w białym kolorze.</p><p><br></p><p>Dzięki kompaktowym wymiarom sprawdzi się nawet w niewielkich wnętrzach lub może być podstawą większej kombinacji, kiedy zmienią się Twoje potrzeby.</p><p><br></p><p>Regał możesz wykorzystać również jako miejsce do uporządkowania dokumentów i segregatorów w przestrzeni biurowej.</p><p><br></p><p>Możesz ustawić na nim kwiaty lub stylowe dekoracje, które podkreślą charakter wnętrza. Lekka i uniwersalna konstrukcja pozwala na wiele możliwości wykorzystania bryły.</p><p><br><br><strong>Wnęka ma wymiary: 33x33 cm</strong></p><p><br></p><p><strong>WYKOŃCZENIE</strong></p><ul><li class=""ui-draggable"">Korpus mebla jest wykonany z płyty meblowej i wykończony folią.</li><li class=""ui-draggable"">Powierzchnię płyty foliowanej bardzo łatwo utrzymać w czystości.</li><li class=""ui-draggable"">Regał MAURO MXXR331 występuje w trzech wariantach kolorystycznych: czarnym, białym i szarym.</li></ul></div></div>"
1;Szafka RTV TRASS TRAT121-N09;nowoczesny;589,;1;98;"<div class=""widget text_editor clearfix2"" style=""width: 100%; height: 100%;""><div align=""justify"">Szafka RTV z kolekcji <strong>TRASS </strong>to pomysł na ciekawą aranżację salonu, ciemniejsza kolorystyka będzie dobrze komponować się w jasnych pomieszczeniach. Szafka RTV pomieści sprzęt, dekoder lub drobne elementy typu płyty czy piloty, które możesz schować np w szufladzie. Cała kolekcja to system nowoczesnych mebli, prostych, a zarazem mających swój styl i charakter.<p><br></p><h2>WNĘTRZE<br><br></h2><p>Jednodrzwiowa szafka rtv z półką otwartą oraz jedną szufladą. </p><p>Wymiary wnęki lewa/prawa: szerokość 49, cm, głębokość 42,5 cm, wysokość 10 cm (15 cm licząc z listwą)</p><p><br></p><h2>WYKOŃCZENIE</h2><p><br></p><p>Kolekcja charakteryzuje się oryginalnym kolorem dębu w połączeniu z czarnymi wstawkami. Obrzeża poziome i pionowe listwy z płyty MDF.</p></div></div>"
1;Komoda JAKOBINA/SIRIUS CROWN;nowoczesny;999,;1;91;"<div class=""widget text_editor clearfix2"" style=""width: 100%; height: 100%;""><div align=""justify""><strong>Komoda JAKOBINA</strong> świetnie sprawdzi się we wnętrzach urządzonych w stylu industrialnym, którego cechami charakterystycznymi są duże, wysokie przestrzenie, surowe materiały, minimalizm oraz prostota. </div><div align=""justify""><br></div><div align=""justify"">Piękny kolor dębu połączony z czarnymi wstawkami z łatwością wpisze się w aranżacje sypialni urządzonych w takich klimatach. Ściany wykonane z betonu lub cegły będą doskonałym tłem do jej wyeksponowania. Właściwie dobrane dodatki podkreślą charakter wnętrza i dopełnią gustowną aranżację.<br><br>W skład kolekcji wchodzą również szafy o szerokości 220 i 270 cm, łóżko oraz szafki nocne.<br><br>Wnętrza urządzone w stylu industrialnym są obecnie uznawane za symbol dobrego smaku oraz wyrafinowanej elegancji. Zaaranżuj swoje wnętrze z kolekcją <strong>JAKOBINA</strong>.</div><p><br></p><h2>WNĘTRZE</h2><div align=""justify"">Komoda posiada trzy szuflady, w których z łatwością rozmieścisz swoje rzeczy. </div><h2><br>WYKOŃCZENIE</h2><div align=""justify"">Okleina, którą pokryto mebel, pięknie oddaje naturalne usłojenie drewna. Ciepły kolor dębu w połączeniu z czarnymi wstawkami tworzy spójną całość.</div></div>"
1;Komoda KOBE 1D3S;nowoczesny;891,48;1;6;"<div class=""widget text_editor clearfix2"" style=""width: 100%; height: 100%;""><div align=""justify""><br>Komoda z nowoczesnej kolekcji mebli Kobe. To oryginalny system w ciepłym odcieniu dębu o dość ciekawych frontach. </div><div align=""justify""><br></div><div align=""justify""><strong>Mała komoda</strong> przyda się np. na bieliznę lub inne drobne przedmioty w jadalni, salonie czy sypialni. Kobe to propozycja dla osób ceniących ciepłe i naturalne wnętrza. Wniesie do aranżacji elegancję i niepowtarzalność.</div><div align=""justify""><br><br><h2>WNĘTRZE</h2>Komoda posiada <strong>2 wnęki za drzwiami i 3 szuflady</strong>, w których łatwo pogrupujesz potrzebne przedmioty.</div><div align=""justify""><br><br><h2>WYKOŃCZENIE</h2>System Kobe to oryginalna, nowoczesna kolekcja, której fronty wykonane są z trwałego MDF. Doskonale imituje strukturę drewna dzięki czemu dodaje ciepłego klimatu we wnętrzu.<br>Charakterystyczne są ciekawie wyfrezowane fronty oraz listwy ozdobne. Dodatkowo wszystkie bryły są bezuchwytowe.</div></div>"
1;Szafka RTV SAINT TROPEZ z oświetleniem;nowoczesny;899,10;1;58;"<div class=""widget text_editor clearfix2"" style=""width: 100%; height: 100%;""><div style=""text-align: justify;"">Szafka z kolekcji Saint Tropez, w której postawiono na funkcjonalność. Ta szafka łączy w sobie niemal wszystkie zalety jakie może posiadać nowoczesny mebel. Wykonana została w połączeniu ciepłego dekoru dąb sangallo z połyskującymi białymi frontami. To ciekawe zestawienie kolorów zostało podkreślone poprzez oświetlenie zamontowane na wieńcu szafki. Dekoracyjne frezowania zastąpiły tradycyjne uchwyty. </div></div>"
1;Komoda CARISMA CM03 2D3S;klasyczny;3289,;1;79;"<div class=""widget text_editor clearfix2"" style=""width: 100%; height: 100%;""><p>Komoda <strong>CARISMA 0M04 </strong>to idealne miejsce na przechowywanie tekstyliów lub dokumentów. </p><div align=""justify""><p>Zarówno prowadnice, jak i zawiasy wyposażono w system „cichego domyku”, dzięki czemu szuflady i drzwi nie trzaskają.</p><p><br></p><h2>Uniwersalne wnętrze</h2><p>●W 4 wnękach możesz przechowywać segregatory lub komplety pościeli.</p><p>●3 szuflady to idealne miejsce na sztućce lub drobiazgi.</p><p><br></p><h2>Biały połysk</h2><p>Komodę wykończono połyskującym lakierem. Dzięki temu komoda powiększa optycznie przestrzeń. </p><p><br></p><h2>Jak w apartamencie gwiazdy filmowej</h2><p>●Kolekcja <strong>mebli CARISMA</strong> przeistoczy zwyczajny salon w kobiece wnętrze rodem z pierwszych stron magazynów wnętrzarskich.</p><p>●Konstrukcja mebla nawiązuje do stylu ludwikowskiego, który wprowadza do pomieszczeń poczucie wytworności.</p><p>●Gładka struktura wykończenia i urokliwe uchwyty w kształcie kryształków sprawiają, że we własnym domu poczujesz się, jak w apartamencie gwiazdy.</p><p>●To idealne meble do stworzenia aranżacji w <strong>stylu „glamour”</strong> .</p></div></div>"
1;Komoda drewniana z frontem w jodełkę KASTENOS;minimalistyczny;5499,;1;99;"<div class=""widget text_editor clearfix2"" style=""width: 100%; height: 100%;""><div>Potrzebujesz pojemnej, a zarazem stylowej komody, która wpasuje się w Twoje minimalistyczne wnętrze? KASTENOS charakteryzuje się industrialnymi nóżkami i stylowym ręcznym zdobieniem w formie jodełki na froncie. To propozycja dla tych, którzy lubią łączyć postarzane dodatki z nowoczesnym wystrojem wnętrza. Zestaw komodę z pozostałymi meblami z serii - stwórz unikalny i przytulny klimat w swoim wnętrzu z kolekcją KASTENOS! </div><div><br></div><div class=""is-dragging"">Najważniejsze cechy:<ul><li class=""ui-draggable"">Wyposażony w 3 praktyczne szuflady i 4 wnęki</li><li class=""ui-draggable"">Wykonany w dużej części z drewna</li><li class=""ui-draggable"">Posiada industrialne nóżki</li><li class=""ui-draggable"">Zachwyca minimalistyczną formą</li><li class=""ui-draggable"">Ma stylowe ręczne zdobienie w formie jodełki na froncie</li></ul><p><br></p><h2>3 SZUFLADY, 4 WNĘKI</h2></div><div><br></div><div>Komoda ma 45 cm głębokości - zmieści się w niewielkim salonie lub wąskim przedpokoju. Pozwoli przechować przedmioty w różnym rozmiarze - posiada 3 szuflady i 4 wnęki. Zawiasy wyposażono w tzw. cichy domyk, dlatego możesz mieć pewność, że żaden hałas nie będzie rozpraszał Twoich bliskich.<h2><br></h2><h2>RĘCZNIE ZDOBIONE FRONTY</h2></div><div><br></div><div>Na każdym froncie ręcznie układano drewniane listwy w taki sposób, by powstał nietypowy wzór w jodełkę. Wybierając KASTENOS stawiasz na unikalne rozwiązania. Każdy mebel z kolekcji KASTENOS jest jedyny w swoim rodzaju.<h2><br></h2><h2>MINIMALIZM W ODSŁONIE VINTAGE</h2></div><div><br></div><div>Meble z kolekcji KASTENOS nawiązują do stylu vintage oraz charakteryzują się minimalizmem. Śmiało zestawiaj je z nowoczesnymi dodatkami, budując unikalny i przytulny klimat w swoim wnętrzu.<h2><br></h2><h2>WYKOŃCZENIE</h2></div><div><br></div><div>Blat wykonano z naturalnego drewna, które zabezpieczono lakierem UV. Dzięki temu długo będziesz się cieszyć jego oryginalnym urokiem. Jego ciepły odcień i wyrazista struktura z ręcznym zdobieniem na froncie pozwolą Ci stworzyć przytulny klimat w Twoim wnętrzu. Wysokie, industrialne nóżki ułatwią Ci codzienne porządki i dodadzą Twojemu wnętrzu przestronności.</div></div>"
1;Komoda ARISTA 2 2D4S RSTK262 C592;minimalistyczny;629,10;1;28;"<div class=""widget text_editor clearfix2"" style=""width: 100%; height: 100%;""><div align=""justify""><strong>Komoda ARISTA</strong> to nowoczesny mebel, idealny dla pełnych światła wnętrz utrzymanych w tonacji bieli oraz szarości.<br><br>Jej przeznaczeniem może być większość pomieszczeń w domu. Komodę <strong>ARISTA</strong> można ustawić w sypialni, pokoju dziennym lub w jadalni. Można w niej przechowywać wszystko – od ubrań po przybory kuchenne.<br><br>Połączenie białych frontów oraz korpusu i blatu w kolorystyce ciemnoszarego betonu daje wspaniałe efekty wizualne, które stylistycznie sprawdza się w nowoczesnych aranżacjach.<br><br><h2>WNĘTRZE</h2>Komoda <strong>ARISTA</strong> została wykonana z płyty meblowej i laminowanej, wykończonej folią. </div><div align=""justify""><br></div><div align=""justify"">Posiada cztery szuflady i półki, które pozwolą lepiej rozmieścić i zorganizować ubrania, obrusy zastawę lub rzeczy codziennego użytku.</div><div align=""justify""><br><br><h2>WYKOŃCZENIE</h2>Dopełnieniem całości są frezowania na froncie i uchwyty w kolorze matowy chrom.</div><p><br></p></div>"
